# Пробы вердикта при запуске (ADR-0045). Поля: программа, путь (run|io), ключ
# (0 — без --на-веру, 1 — с ним), ожидаемый код возврата, слово, которое обязано
# стоять в выводе. Слово «запущено да» — для проб с ключом: зонд печатает его,
# когда вердикт пропущен и вычисление состоялось.
программа	путь	ключ	код	слово
сетка.flang	run	0	3	не доказано
на-веру.flang	run	0	3	не доказано
ложь.flang	run	0	3	не доказано
тождество.flang	run	0	0	доказано: утверждений 1
типом.flang	run	0	0	доказано: утверждений 1
индукция.flang	run	0	0	доказано: утверждений 1
без-утверждений.flang	run	0	0	доказано: утверждений 0
сетка.flang	run	1	0	запущено да
на-веру.flang	run	1	0	запущено да
ложь.flang	run	1	0	запущено да
план-доказан.flang	io	0	0	доказано: утверждений 1
план-на-веру.flang	io	0	3	не доказано
план-на-веру.flang	io	1	0	запущено да
